"subj","trial","targSide","RT","acc","block","incentive"
"513",6,34,"absent",11.802,1,"1","r"
"514",6,35,"absent",9.495,1,"1","r"
"515",6,36,"heterogenous",6.485,1,"1","r"
"516",6,37,"absent",10.922,1,"1","r"
"517",6,38,"homogenous",1.009,1,"1","r"
"518",6,39,"heterogenous",3.622,1,"1","r"
"519",6,40,"homogenous",0.745,1,"1","r"
"520",6,41,"absent",6.193,1,"1","r"
"521",6,42,"homogenous",0.732,1,"1","r"
"522",6,43,"homogenous",0.708,1,"1","r"
"523",6,44,"absent",5.674,1,"1","r"
"524",6,45,"homogenous",0.793,1,"1","r"
"525",6,46,"heterogenous",6,1,"1","r"
"526",6,47,"heterogenous",9.171,0,"1","r"
"527",6,48,"absent",13.837,1,"1","r"
"528",6,49,"absent",13.355,0,"1","r"
"529",6,50,"absent",7.665,1,"1","r"
"530",6,51,"absent",14.717,1,"1","r"
"531",6,52,"homogenous",0.782,1,"1","r"
"532",6,53,"absent",11.252,1,"1","r"
"533",6,54,"absent",10.773,1,"1","r"
"534",6,55,"absent",11.811,1,"1","r"
"535",6,56,"absent",9.809,1,"1","r"
"536",6,57,"absent",9.255,1,"1","r"
"537",6,58,"heterogenous",7.484,0,"1","r"
"538",6,59,"absent",9.964,1,"1","r"
"539",6,60,"heterogenous",2.784,1,"1","r"
"540",6,61,"absent",9.821,1,"1","r"
"541",6,62,"absent",10.024,1,"1","r"
"542",6,63,"heterogenous",4.873,1,"1","r"
"543",6,64,"absent",6.813,1,"1","r"
"544",6,65,"homogenous",0.904,1,"1","r"
"545",6,66,"homogenous",0.769,1,"1","r"
"546",6,67,"heterogenous",1.255,1,"1","r"
"547",6,68,"absent",5.602,1,"1","r"
"548",6,69,"absent",9.286,1,"1","r"
"549",6,70,"homogenous",0.784,1,"1","r"
"550",6,71,"absent",8.335,1,"1","r"
"551",6,72,"heterogenous",8.893,0,"1","r"
"552",6,73,"homogenous",0.79,1,"1","r"
"553",6,74,"homogenous",0.742,1,"1","r"
"554",6,75,"heterogenous",2.349,0,"1","r"
"555",6,76,"absent",13.179,1,"1","r"
"556",6,77,"absent",5.686,1,"1","r"
"557",6,78,"homogenous",0.831,1,"1","r"
"558",6,79,"absent",5.311,1,"1","r"
"559",6,80,"absent",8.564,1,"1","r"
"560",6,81,"homogenous",0.689,1,"1","r"
"561",6,82,"heterogenous",6.763,1,"1","r"
"562",6,83,"absent",9.683,1,"1","r"
"563",6,84,"homogenous",0.679,1,"1","r"
"564",6,85,"absent",7.275,1,"1","r"
"565",6,86,"absent",6.575,1,"1","r"
"566",6,87,"homogenous",0.604,1,"1","r"
"567",6,88,"homogenous",0.773,1,"1","r"
"568",6,89,"heterogenous",10.573,0,"1","r"
"569",6,90,"heterogenous",9.691,0,"1","r"
"570",6,91,"absent",10.345,1,"1","r"
"571",6,92,"absent",12.987,1,"1","r"
"572",6,93,"heterogenous",11.512,0,"1","r"
"573",6,94,"absent",9.969,1,"1","r"
