subNum	 block	 trialNo	 fixNo	 xFix	 xFixFlipped	 yFix	 fixStartTime	 fixEndTime	 targPresent	 targSide	 easySide	 RT	 accuracy
2	 1	 52	 1	 520	 8	 387	 1556180	 1556777	 1	 left	 R	 12.035	 1
2	 1	 53	 1	 508	 4	 382	 1569450	 1569888	 0	 x	 L	 16.956	 1
2	 1	 54	 1	 521	 -9	 381	 1587889	 1588326	 0	 x	 L	 14.327	 1
2	 1	 55	 1	 521	 9	 385	 1603766	 1604110	 0	 x	 R	 15.167	 1
2	 1	 56	 1	 666	 -154	 323	 1620651	 1620908	 0	 x	 L	 11.559	 1
2	 1	 57	 1	 520	 8	 382	 1633074	 1633560	 0	 x	 R	 13.459	 1
2	 1	 58	 1	 645	 -133	 404	 1648316	 1648543	 1	 left	 L	 1.411	 1
2	 1	 59	 1	 513	 1	 369	 1650643	 1651093	 1	 left	 R	 4.710	 1
2	 1	 60	 1	 514	 -2	 383	 1657169	 1657599	 0	 x	 L	 14.435	 1
2	 1	 61	 1	 520	 -8	 380	 1673573	 1674037	 1	 right	 L	 9.114	 0
2	 1	 62	 1	 520	 -8	 378	 1684801	 1685237	 0	 x	 L	 17.814	 1
2	 1	 63	 1	 513	 1	 380	 1704063	 1704547	 1	 left	 R	 5.425	 1
2	 1	 64	 1	 506	 6	 383	 1711036	 1711425	 0	 x	 L	 21.860	 1
2	 1	 65	 1	 518	 -6	 386	 1734444	 1734908	 0	 x	 L	 10.527	 1
2	 1	 66	 1	 513	 -1	 376	 1746320	 1746775	 0	 x	 L	 11.396	 1
2	 1	 67	 1	 514	 2	 379	 1758757	 1759204	 0	 x	 R	 11.523	 1
2	 1	 68	 1	 511	 -1	 376	 1771419	 1771756	 0	 x	 R	 10.681	 1
2	 1	 69	 1	 508	 -4	 373	 1783575	 1784048	 1	 right	 R	 1.072	 1
2	 1	 70	 1	 507	 -5	 382	 1786096	 1786563	 1	 left	 R	 9.109	 1
2	 1	 71	 1	 443	 69	 332	 1796800	 1797042	 1	 left	 L	 1.119	 1
2	 1	 72	 1	 509	 3	 384	 1799544	 1800000	 0	 x	 L	 8.832	 1
2	 1	 73	 1	 510	 2	 385	 1809428	 1809856	 0	 x	 L	 10.222	 1
2	 1	 74	 1	 514	 2	 389	 1820999	 1821417	 0	 x	 R	 10.716	 1
2	 1	 75	 1	 512	 0	 389	 1835362	 1835844	 0	 x	 L	 12.369	 1
2	 1	 76	 1	 509	 -3	 380	 1849182	 1849614	 0	 x	 R	 10.664	 1
2	 1	 77	 1	 440	 -72	 329	 1861892	 1862192	 1	 right	 R	 1.114	 1
2	 1	 78	 1	 0	 0	 0	 1861892	 1862192	 1	 right	 R	 0.938	 1
2	 1	 79	 1	 510	 2	 382	 1866935	 1867479	 1	 right	 L	 12.908	 0
2	 1	 80	 1	 507	 5	 383	 1881762	 1882284	 0	 x	 L	 15.337	 1
2	 1	 81	 1	 511	 1	 386	 1900359	 1900869	 1	 right	 L	 10.447	 0
2	 1	 82	 1	 508	 -4	 375	 1912763	 1913259	 0	 x	 R	 11.698	 1
2	 1	 83	 1	 504	 -8	 375	 1926773	 1927271	 0	 x	 R	 7.952	 1
2	 1	 84	 1	 505	 7	 372	 1935839	 1936305	 1	 right	 L	 13.309	 0
